time,ax,ay,az,bx,by,bz
16360340.0,2268.0,652.0,21980.0,-28.0,836.0,17892.0
16762340.0,2220.0,564.0,22224.0,-60.0,736.0,17928.0
17164340.0,2300.0,484.0,22056.0,16.0,736.0,17952.0
17566340.0,2320.0,612.0,22024.0,-60.0,840.0,17904.0
17968340.0,1788.0,568.0,22280.0,-256.0,728.0,17912.0
18370340.0,2144.0,736.0,22064.0,-56.0,980.0,18104.0
18772340.0,2392.0,576.0,22116.0,-84.0,824.0,17952.0
19174340.0,2332.0,512.0,22252.0,48.0,776.0,17892.0
19576340.0,2152.0,580.0,22156.0,8.0,892.0,17980.0
19978340.0,2292.0,408.0,22232.0,108.0,700.0,18196.0
20380340.0,2300.0,596.0,22308.0,92.0,832.0,17956.0
20782340.0,2300.0,504.0,22216.0,12.0,784.0,18128.0
21184340.0,2300.0,560.0,22144.0,-76.0,848.0,18108.0
21586340.0,2316.0,688.0,22156.0,40.0,832.0,17672.0
21988340.0,1752.0,1304.0,25812.0,-392.0,1076.0,18168.0
22390340.0,2064.0,1032.0,22160.0,-188.0,1132.0,17920.0
22792340.0,2208.0,608.0,22100.0,-48.0,992.0,18008.0
23194340.0,2176.0,656.0,22224.0,-20.0,900.0,17864.0
23596340.0,2020.0,680.0,22104.0,-148.0,812.0,17944.0
23998340.0,2236.0,592.0,22212.0,-100.0,832.0,17924.0
24400340.0,2092.0,616.0,21980.0,-128.0,1020.0,17824.0
24802340.0,2308.0,600.0,22064.0,-100.0,880.0,17944.0
25204340.0,2276.0,528.0,22080.0,4.0,764.0,17964.0
25606340.0,2300.0,524.0,22168.0,-104.0,816.0,18036.0
26008340.0,2248.0,520.0,22208.0,-52.0,684.0,18016.0
26410340.0,2236.0,596.0,22152.0,104.0,880.0,17868.0
26812340.0,2172.0,580.0,22132.0,-28.0,804.0,18096.0
27214340.0,2184.0,528.0,22132.0,-116.0,800.0,18036.0
27616340.0,2320.0,544.0,22148.0,36.0,832.0,18040.0
28018340.0,2116.0,624.0,22268.0,-56.0,892.0,17896.0
28420340.0,2244.0,580.0,22304.0,-24.0,856.0,17968.0
28822340.0,2244.0,632.0,22164.0,-20.0,808.0,17904.0
29224340.0,2220.0,584.0,22292.0,-80.0,832.0,18088.0
29626340.0,2252.0,612.0,22064.0,-116.0,784.0,18108.0
30028340.0,2168.0,684.0,22196.0,-44.0,992.0,17700.0
30430340.0,2360.0,448.0,22260.0,164.0,712.0,17888.0
30832340.0,2304.0,540.0,22204.0,104.0,824.0,18012.0
31234340.0,2228.0,480.0,22240.0,8.0,728.0,18020.0
31636340.0,2268.0,620.0,22172.0,20.0,824.0,18004.0
32038340.0,2232.0,608.0,22068.0,-56.0,924.0,18084.0
32440340.0,2252.0,608.0,21952.0,40.0,916.0,18108.0
32842340.0,2168.0,568.0,22052.0,-24.0,936.0,18048.0
33244340.0,2216.0,564.0,22156.0,8.0,752.0,17812.0
33646340.0,2196.0,616.0,22152.0,-40.0,748.0,17952.0
34048340.0,2296.0,624.0,22032.0,80.0,864.0,17960.0
34450340.0,2240.0,612.0,22248.0,20.0,840.0,18152.0
34852340.0,2204.0,556.0,22208.0,-100.0,936.0,17956.0
35254340.0,2200.0,532.0,22160.0,-100.0,820.0,18084.0
35656340.0,2256.0,592.0,21892.0,120.0,888.0,17956.0
36058340.0,2232.0,508.0,22308.0,24.0,752.0,18100.0
36460340.0,2368.0,612.0,22188.0,80.0,888.0,17988.0
36862340.0,2188.0,576.0,22216.0,-76.0,880.0,17960.0
37264340.0,2264.0,568.0,22164.0,12.0,864.0,17948.0
37666340.0,2192.0,564.0,22284.0,-128.0,892.0,18120.0
38068340.0,2216.0,148.0,22212.0,-12.0,740.0,18188.0
38470340.0,2228.0,688.0,22112.0,-52.0,936.0,17796.0
38872340.0,2316.0,564.0,22060.0,-32.0,820.0,17956.0
39274340.0,2228.0,556.0,22312.0,20.0,724.0,18024.0
39676340.0,2316.0,512.0,22352.0,52.0,812.0,17776.0
40078340.0,2260.0,648.0,22184.0,-28.0,832.0,17936.0
40480340.0,2300.0,624.0,22304.0,-48.0,812.0,17968.0
