time,ax,ay,az,bx,by,bz
1816866659.0,15288.0,4348.0,10524.0,14340.0,-836.0,-6804.0
1817269631.0,15616.0,4840.0,10584.0,14420.0,-968.0,-5684.0
1817672637.0,15188.0,4516.0,10656.0,14276.0,-436.0,-6376.0
1818075620.0,15592.0,5216.0,8816.0,14352.0,-1180.0,-6496.0
1818477635.0,14644.0,5288.0,9892.0,14004.0,-1168.0,-6732.0
1818880621.0,14728.0,5840.0,10344.0,14084.0,-1380.0,-6956.0
1819283629.0,14304.0,4824.0,12592.0,14632.0,-944.0,-8248.0
1819686671.0,13472.0,3292.0,13008.0,14264.0,-1072.0,-7024.0
1820089631.0,15036.0,5236.0,10804.0,14328.0,-1084.0,-6728.0
1820492638.0,14708.0,5296.0,11276.0,14272.0,-800.0,-6568.0
1820895618.0,14816.0,5312.0,11196.0,14236.0,-820.0,-6916.0
1821298627.0,13912.0,4824.0,12300.0,14620.0,-608.0,-6628.0
1821701667.0,14208.0,3708.0,12400.0,14296.0,-644.0,-6100.0
1822104631.0,13924.0,6412.0,11612.0,14248.0,-620.0,-6348.0
1822507650.0,14472.0,5860.0,11456.0,14288.0,-604.0,-6824.0
1822910622.0,14156.0,6084.0,11360.0,14176.0,-500.0,-6820.0
1823313628.0,14288.0,5696.0,11484.0,14340.0,-688.0,-6888.0
1823716655.0,14192.0,5700.0,11636.0,14216.0,-664.0,-6760.0
1824119631.0,14328.0,5896.0,11404.0,14212.0,-752.0,-6840.0
1824522646.0,15072.0,4508.0,11564.0,14356.0,-496.0,-7204.0
1824925625.0,14064.0,252.0,11288.0,15784.0,-544.0,-3864.0
1825327666.0,13716.0,-1956.0,15764.0,18420.0,-2544.0,-1128.0
1825730628.0,10496.0,-1072.0,18732.0,15516.0,-3060.0,2660.0
1826133631.0,9808.0,-1232.0,19100.0,15572.0,-3344.0,2524.0
1826536651.0,10648.0,-1316.0,18280.0,16232.0,-2936.0,2020.0
1826939636.0,10528.0,-1620.0,18352.0,16280.0,-2976.0,2020.0
1827342645.0,10704.0,-1244.0,18224.0,16300.0,-3060.0,1936.0
1827745619.0,10656.0,-1256.0,18148.0,16260.0,-2968.0,2020.0
1828148629.0,10964.0,-1208.0,17896.0,16420.0,-2948.0,1884.0
1828551649.0,10656.0,-928.0,18184.0,16148.0,-2932.0,1344.0
1828954633.0,11264.0,-1332.0,17800.0,16300.0,-3496.0,820.0
1829357680.0,11600.0,-792.0,17632.0,15812.0,-3476.0,-184.0
1829760619.0,17532.0,-1080.0,13052.0,18308.0,-3320.0,76.0
1830163645.0,16388.0,-728.0,11400.0,16396.0,-2108.0,-1328.0
1830566634.0,15152.0,-1288.0,10956.0,15640.0,-2904.0,-656.0
1830969649.0,15564.0,-968.0,10752.0,16080.0,-2144.0,-1312.0
1831372676.0,15700.0,-4280.0,10120.0,15928.0,-3948.0,-2220.0
1831775635.0,17036.0,-1932.0,10156.0,17180.0,-3980.0,-240.0
